상권_코드_명,상권별_매출액_평균,상권별_매출건수_평균,프랜차이즈_점포_수,식료품_지출_총금액,교통_지출_총금액,점포_수,개업_점포_수,폐업_점포_수,시군구_명,시간대_아침점심_생활인구_수,시간대_오후저녁_생활인구_수,시간대_밤새벽_생활인구_수
신수동주민센터,118787810.0576923,11225.596153846154,7,302760277.0,180056523.0,111,6,1,마포구,9458,7866,11071
신촌역 6번,58340179.14285714,3288.119047619048,6,51543520.0,19224051.0,26,5,0,마포구,3049,2622,2627
아현역 4번,926801390.030303,37520.09090909091,4,501612.0,206215.0,55,6,1,마포구,2232,1889,2457
애오개역 3번,209072371.06779665,11290.542372881357,5,209948776.0,143781420.0,50,6,0,마포구,1642,1427,2235
양원초등학교,63817113.21875,4404.3125,1,127756077.0,50760568.0,45,9,1,마포구,11271,9425,14974
양화대교북단,366717202.52,28619.92,7,360903515.0,242554593.0,77,9,1,마포구,11047,8021,15914
연트럴파크(연남동주민센터),268248520.34,20287.02,6,453843199.0,318179369.0,256,40,5,마포구,17745,19454,22848
염리초등학교,168445811.7826087,3409.304347826087,3,35245173.0,26566936.0,14,0,0,마포구,3079,2928,1966
용강동주민센터,255988676.2625,10281.75,15,87004395.0,61820731.0,100,15,2,마포구,9126,9991,10414
이대역 5번,179375931.84269664,14861.775280898875,8,164844675.0,69472424.0,147,11,2,마포구,9368,7143,12054
절두산순교성지,39622386.0,301.0,0,186247646.0,125019270.0,39,7,2,마포구,5108,4345,3896
중암중학교,42478744.0882353,4498.705882352941,2,151678780.0,82698123.0,28,3,0,마포구,2603,2280,2845
한겨레신문사,99175701.96,6320.96,6,523884422.0,259713903.0,55,6,1,마포구,15840,12563,20412
합정역 8번,866409637.1818181,16572.924242424244,26,898636919.0,615151984.0,384,49,9,마포구,27789,27377,32299
홍대땡땡거리,225471248.01754385,10016.543859649122,20,194555562.0,103823653.0,292,39,6,마포구,15864,15261,17397
홍대부속여중고앞,239656962.26168224,13582.570093457944,13,579261214.0,441307228.0,264,29,6,마포구,19076,15580,22655
홍대입구역 3번,396330501.2068965,10261.563218390804,10,120802119.0,71445541.0,218,35,4,마포구,14540,21280,12697
홍익대,237724299.92105263,13093.394736842103,7,207723796.0,124895998.0,59,8,1,마포구,7726,6405,9740
홍익지구대,132660340.96969695,4727.818181818182,2,45087593.0,31545038.0,70,4,1,마포구,4432,4825,4090
KB국민은행 종암동지점,257115190.8888889,21315.185185185182,7,110772856.0,72340070.0,38,2,0,성북구,6322,5163,6161
KT월곡지사,222638950.75,8787.05,7,161239300.0,98471577.0,77,6,1,성북구,19260,17745,21974
경동고등학교,157243334.34042552,8244.968085106382,10,614682256.0,408894125.0,211,20,4,성북구,36080,30138,47330
국민대학교앞,170670339.45714286,12340.4,9,230982081.0,135132214.0,83,11,1,성북구,2211,1597,2476
길상사,198059653.54545453,2876.5454545454545,0,208901738.0,147359026.0,29,3,0,성북구,1495,1114,1616
길음역 10번,191623069.5,2065.9166666666665,1,6851091.0,4023704.0,15,0,0,성북구,677,705,701
길음역 7번,167592904.62195122,7570.475609756098,13,259578641.0,174400092.0,134,6,2,성북구,12359,13986,10586
길음역 8번,269381690.9607843,9110.098039215687,14,188717620.0,107874289.0,161,18,4,성북구,14969,14207,19105
대광초등학교,186634061.2068965,14142.0,7,158433279.0,96488770.0,80,8,1,성북구,7516,6442,6342
돌곶이역 1번,196438149.25925925,9333.425925925923,4,241975780.0,138336940.0,100,16,1,성북구,13708,11809,15531
돌곶이역 3번,150798734.4722222,6617.611111111111,2,86958350.0,59754052.0,37,2,0,성북구,3192,2500,3479
돌곶이역 5번,155940689.92307693,6753.195804195804,16,154295662.0,91070784.0,163,11,3,성북구,7838,6908,8988
돌곶이역 8번,236066431.8640777,20786.174757281555,13,319030874.0,150340815.0,168,13,2,성북구,20366,17368,23824
동구여중,191906683.7179487,10527.679487179486,4,193030332.0,127981235.0,96,2,2,성북구,7749,6527,8418
동덕여대,60905551.1,675.9,1,61209866.0,37398250.0,14,1,0,성북구,1842,1236,2815
미아초등학교,101177617.2542373,2930.5254237288136,6,114568496.0,64536287.0,73,8,3,성북구,4007,3661,4537
보문역 4번,219567772.15942028,20763.260869565216,9,382401291.0,176720085.0,110,20,2,성북구,15713,14045,15926
보문역 5번,164197246.99019608,7851.441176470588,6,595780004.0,337682685.0,235,25,6,성북구,27479,21543,31742
보문역 8번,111230841.8181818,7819.034090909091,10,340594007.0,161526144.0,135,12,3,성북구,5665,4833,6226
북정마을,33249444.25,1583.5,2,131732168.0,69892878.0,21,1,0,성북구,1799,1181,2286
북한산보국문역 1번,51567998.59259259,3421.6666666666665,3,195074270.0,129909316.0,32,3,0,성북구,5224,4507,5835
북한산보국문역 2번,151676790.44680852,7724.468085106383,8,652216434.0,379314480.0,96,9,1,성북구,18365,16761,25434
