상권_코드_명,폐업_점포_수
정릉역 1번,4
정릉역 2번,1
정릉우체국,4
정원여중,1
제기동역 1번,1
제기동역 6번,7
조원동주민센터,0
종로5가역 4번,0
종암경찰서,5
종암동주민센터,6
종암아이파크2차,5
종암아이파크2차후문,0
종암중학교,1
종암초등학교,1
중계초등학교,1
중곡1동 마을마당,4
중곡1동주민센터,1
중곡3동주민센터,6
중곡4동주민센터,1
중곡어린이공원,1
중곡역 3번,6
중곡초등학교,2
중구회현체육센터(정화예술대남산캠퍼스),5
중대부중,4
중랑노인종합복지관,6
중랑역 1번,3
중랑역 2번,0
중랑역 4번,1
중암중학교,0
중앙고등학교,2
중앙대학교,5
중앙보훈병원,0
중화역 1번,6
중화역 4번,3
증산3교남측,0
증산역 1번,1
증산역 3번,1
증산역 4번,3
지향초등학교,1
창2동주민센터,8
창덕궁,3
창동역 2번,8
창동중학교,0
창신1동주민센터,2
창신역 1번,0
창신역 4번,2
천동초등학교,1
"천왕역 3번(오류2동주민센터, 서울오류남초등학교)",1
천일초등학교,0
천호1동주민센터,1
천호공원(해공체육문화센터),3
천호역 1번(천호문구완구거리),2
천호역 6번,6
천호지구대(천호동자전거거리),4
천호초등학교,0
천호태영아파트,1
청계산원터골,1
청계산입구역 2번(내곡동주민센터),1
청계천박물관,2
청구역 1번,4
청구역 3번,3
청담근린공원,1
청담역 12번,0
청담역 3번,1
청담초등학교,0
청량초등학교,0
청룡동주민센터,2
청림동주민센터(상도중학교),1
청와대사랑채,0
청운초등학교,0
체부동홍종문가옥,0
촬영소사거리,3
충무초등학교,1
충신시장옆,0
충정로역 3번,2
충정로역 6번,2
충정로역 7번,0
충정로현대아파트,2
큰굴다리,1
태릉시장 특화거리,4
태릉입구역 4번,1
텃골근린공원,2
투구봉어린이공원,0
평창동동측,1
평창동서측,4
포이초등학교(개포목련어린이공원),3
푸른동산공원,5
푸른들청소년도서관,10
풍납초등학교(풍납백제문화공원),0
하나고등학교,0
하나은행 망우동지점,2
학동근린공원,0
학동초등학교,0
한강로동땡땡거리(은행나무길),2
한강미주맨션아파트,2
한강진역 3번,4
한겨레신문사,1
한국SGI본부,6
한국교통안전공단 강남자동차검사소,0
한국상담대학원대학교,0
한국의류시험연구원,1
한국폴리텍대학서울정수캠퍼스,2
한남IC,3
한남초등학교,0
한남힐사이드아파트,0
한림대학교한강성심병원,0
한성대입구역 3번,4
한성대입구역 5번,2
한성백제역 3번,6
한양공고앞 교차로,1
한양대역 4번,1
한영중고,6
